StoreID,Week,Week_Start,Week_End,Gross_Margin,Sales
1508,1,2015-02-06,2015-02-12,1429.4390000000003,3124.609999999998
1508,2,2015-02-13,2015-02-19,2031.2580000000016,4360.539999999996
1508,3,2015-02-20,2015-02-26,1022.0429999999999,2217.2700000000023
1508,4,2015-02-27,2015-03-05,1372.2495000000008,2996.950000000002
1508,5,2015-03-06,2015-03-12,1698.8590000000015,3704.729999999999
1508,6,2015-03-13,2015-03-19,1744.468000000003,3749.9200000000023
1508,7,2015-03-20,2015-03-26,815.2905000000005,1744.5800000000024
1508,8,2015-03-27,2015-04-02,1439.5665000000006,3089.460000000002
1508,9,2015-04-03,2015-04-09,1575.942500000001,3384.6099999999997
1508,10,2015-04-10,2015-04-16,1154.9785000000008,2464.870000000003
1508,11,2015-04-17,2015-04-23,1485.9770000000008,3188.359999999999
1508,12,2015-04-24,2015-04-30,1946.1405000000016,4143.610000000001
1508,13,2015-05-01,2015-05-07,1701.9960000000026,3664.0100000000025
1508,14,2015-05-08,2015-05-14,1551.264000000002,3335.3399999999983
1508,15,2015-05-15,2015-05-21,1551.1994999999997,3392.729999999999
1508,16,2015-05-22,2015-05-28,1626.8105000000014,3462.8999999999983
1508,17,2015-05-29,2015-06-04,937.5550000000005,2030.9000000000024
1508,18,2015-06-05,2015-06-11,1815.3310000000029,3858.3400000000015
1508,19,2015-06-12,2015-06-18,1262.704,2714.8599999999988
1508,20,2015-06-19,2015-06-25,1629.291500000001,3548.51
1508,21,2015-06-26,2015-07-02,1241.2930000000006,2645.7700000000023
1508,22,2015-07-03,2015-07-09,1025.3970000000002,2221.0400000000013
1508,23,2015-07-10,2015-07-16,1562.095500000001,3357.089999999998
1508,24,2015-07-17,2015-07-23,1991.3110000000029,4246.229999999999
1508,25,2015-07-24,2015-07-30,1514.8380000000016,3207.600000000002
1508,26,2015-07-31,2015-08-06,1329.640500000001,2844.3600000000038
1508,27,2015-08-07,2015-08-13,1719.0180000000018,3658.7900000000022
1508,28,2015-08-14,2015-08-20,1699.458500000002,3620.9900000000016
1508,29,2015-08-21,2015-08-27,1607.3275000000017,3394.859999999999
1508,30,2015-08-28,2015-09-03,1216.8055000000008,2632.1700000000014
1508,31,2015-09-04,2015-09-10,1329.382000000001,2854.3799999999997
1508,32,2015-09-11,2015-09-17,1758.5720000000017,3789.0900000000015
1508,33,2015-09-18,2015-09-24,1794.4445000000023,3738.8799999999997
1508,34,2015-09-25,2015-10-01,1303.6814999999997,2795.579999999998
1508,35,2015-10-02,2015-10-08,1440.2160000000013,3008.710000000001
1508,36,2015-10-09,2015-10-15,1321.195000000001,2774.8300000000036
1508,37,2015-10-16,2015-10-22,982.8304999999999,2084.9100000000017
1508,38,2015-10-23,2015-10-29,2097.4735000000032,4331.499999999997
1508,39,2015-10-30,2015-11-05,1333.026,2898.9799999999987
1508,40,2015-11-06,2015-11-12,1418.826000000001,3073.1900000000023
1508,41,2015-11-13,2015-11-19,1432.7085000000015,3057.2200000000057
1508,42,2015-11-20,2015-11-26,996.4545000000002,2156.890000000003
1508,43,2015-11-27,2015-12-03,1384.568000000001,2988.5800000000013
1508,44,2015-12-04,2015-12-10,1235.7445000000012,2684.880000000002
1508,45,2015-12-11,2015-12-17,1588.6205000000004,3434.6799999999994
1508,46,2015-12-18,2015-12-24,1522.7090000000014,3305.6600000000035
1508,47,2015-12-25,2015-12-31,1301.776000000001,2824.17
1508,48,2016-01-01,2016-01-07,1544.0645000000015,3343.660000000003
1508,49,2016-01-08,2016-01-14,1567.729,3344.650000000001
